Datetime,Day,Hour,temperature_value,t,noise_value,light_value,co2_value,humidity_value,peoplecount_value,invites,occupied,motion_event_count,passage_event_count,acc_motion,acc_passage,acc_motion_per_min,acc_passage_per_min
2024-05-08 00:00:00+00:00,3,1,,,,,,,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:05:00+00:00,3,1,22.5,2024-05-08 00:03:37.690000+00:00,0.0,0.0,486.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:10:00+00:00,3,1,22.5,2024-05-08 00:08:39.873000+00:00,0.0,0.0,472.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:15:00+00:00,3,1,22.5,2024-05-08 00:13:34.688000+00:00,0.0,0.0,487.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:20:00+00:00,3,1,22.5,2024-05-08 00:18:41.423000+00:00,0.0,0.0,471.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:25:00+00:00,3,1,22.5,2024-05-08 00:23:35.684000+00:00,0.0,0.0,509.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:30:00+00:00,3,1,22.5,2024-05-08 00:28:39.684000+00:00,0.0,0.0,484.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:35:00+00:00,3,1,22.4,2024-05-08 00:33:36.526000+00:00,0.0,0.0,452.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:40:00+00:00,3,1,22.4,2024-05-08 00:38:38.563000+00:00,0.0,0.0,459.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:45:00+00:00,3,1,22.4,2024-05-08 00:43:40.271000+00:00,0.0,0.0,487.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:50:00+00:00,3,1,22.4,2024-05-08 00:48:37.672000+00:00,0.0,0.0,500.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 00:55:00+00:00,3,1,22.4,2024-05-08 00:53:35.948000+00:00,0.0,0.0,473.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:00:00+00:00,3,2,22.4,2024-05-08 00:58:37.576000+00:00,0.0,0.0,471.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:05:00+00:00,3,2,22.4,2024-05-08 01:03:33.912000+00:00,0.0,0.0,494.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:10:00+00:00,3,2,22.4,2024-05-08 01:08:39.870000+00:00,0.0,0.0,492.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:15:00+00:00,3,2,22.4,2024-05-08 01:13:34.624000+00:00,0.0,0.0,481.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:20:00+00:00,3,2,22.4,2024-05-08 01:18:33.363000+00:00,0.0,0.0,485.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:25:00+00:00,3,2,22.4,2024-05-08 01:23:38.480000+00:00,0.0,0.0,469.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:30:00+00:00,3,2,22.4,2024-05-08 01:28:37.920000+00:00,0.0,0.0,484.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:35:00+00:00,3,2,22.4,2024-05-08 01:33:36.351000+00:00,0.0,0.0,480.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:40:00+00:00,3,2,22.4,2024-05-08 01:38:34.520000+00:00,0.0,0.0,482.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:45:00+00:00,3,2,22.4,2024-05-08 01:43:37.598000+00:00,0.0,0.0,476.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:50:00+00:00,3,2,22.4,2024-05-08 01:48:43.685000+00:00,0.0,0.0,438.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 01:55:00+00:00,3,2,22.4,2024-05-08 01:53:43.862000+00:00,0.0,1.0,449.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:00:00+00:00,3,3,22.4,2024-05-08 01:58:39.443000+00:00,0.0,0.0,450.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:05:00+00:00,3,3,22.3,2024-05-08 02:03:43.450000+00:00,0.0,0.0,472.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:10:00+00:00,3,3,22.3,2024-05-08 02:08:41.701000+00:00,0.0,0.0,473.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:15:00+00:00,3,3,22.3,2024-05-08 02:13:45.563000+00:00,0.0,0.0,469.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:20:00+00:00,3,3,22.3,2024-05-08 02:18:36.591000+00:00,0.0,0.0,449.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:25:00+00:00,3,3,22.3,2024-05-08 02:23:35.751000+00:00,0.0,0.0,474.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:30:00+00:00,3,3,22.3,2024-05-08 02:28:37.806000+00:00,0.0,0.0,463.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:35:00+00:00,3,3,22.3,2024-05-08 02:33:34.912000+00:00,0.0,0.0,457.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:40:00+00:00,3,3,22.3,2024-05-08 02:38:37.716000+00:00,0.0,0.0,475.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:45:00+00:00,3,3,22.3,2024-05-08 02:43:35.872000+00:00,0.0,0.0,457.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:50:00+00:00,3,3,22.3,2024-05-08 02:48:38.359000+00:00,0.0,0.0,480.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 02:55:00+00:00,3,3,22.3,2024-05-08 02:53:36.605000+00:00,0.0,0.0,479.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:00:00+00:00,3,4,22.3,2024-05-08 02:58:40.462000+00:00,0.0,0.0,476.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:05:00+00:00,3,4,22.3,2024-05-08 03:03:38.607000+00:00,0.0,1.0,465.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:10:00+00:00,3,4,22.3,2024-05-08 03:08:37.835000+00:00,0.0,1.0,462.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:15:00+00:00,3,4,22.3,2024-05-08 03:13:38.214000+00:00,0.0,1.0,468.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:20:00+00:00,3,4,22.3,2024-05-08 03:19:03.233000+00:00,0.0,1.0,488.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:25:00+00:00,3,4,22.3,2024-05-08 03:23:41.398000+00:00,0.0,1.0,486.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:30:00+00:00,3,4,22.3,2024-05-08 03:28:36.494000+00:00,0.0,0.0,487.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:35:00+00:00,3,4,22.3,2024-05-08 03:33:35.268000+00:00,0.0,0.0,521.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:40:00+00:00,3,4,22.3,2024-05-08 03:38:37.741000+00:00,0.0,1.0,540.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:45:00+00:00,3,4,22.3,2024-05-08 03:43:39.741000+00:00,0.0,0.0,538.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:50:00+00:00,3,4,22.3,2024-05-08 03:48:40.252000+00:00,0.0,0.0,515.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 03:55:00+00:00,3,4,22.3,2024-05-08 03:53:39.076000+00:00,0.0,1.0,491.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 04:00:00+00:00,3,5,22.3,2024-05-08 03:58:37.422000+00:00,0.0,2.0,456.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 04:05:00+00:00,3,5,22.3,2024-05-08 04:03:40.092000+00:00,0.0,3.0,478.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 04:10:00+00:00,3,5,22.3,2024-05-08 04:08:36.785000+00:00,0.0,5.0,474.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 04:15:00+00:00,3,5,22.3,2024-05-08 04:13:40.518000+00:00,0.0,7.0,478.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
2024-05-08 04:20:00+00:00,3,5,22.3,2024-05-08 04:18:35.592000+00:00,0.0,10.0,489.0,32.0,"[0, 0]",0,0,0,0,0,0,0.0,0.0
