Datetime,Day,Hour,temperature_value,t,noise_value,light_value,co2_value,humidity_value,peoplecount_value,motion_event_count,passage_event_count,occupied,acc_motion,acc_passage,acc_motion_per_min,acc_passage_per_min
2025-01-01 00:00:00+00:00,3,1,,,,,,,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:05:00+00:00,3,1,22.1,2025-01-01 00:04:00.335000+00:00,0.0,3.0,466.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:10:00+00:00,3,1,22.1,2025-01-01 00:09:01.758000+00:00,0.0,3.0,473.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:15:00+00:00,3,1,22.1,2025-01-01 00:14:00.142000+00:00,0.0,2.0,460.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:20:00+00:00,3,1,22.1,2025-01-01 00:18:58.701000+00:00,0.0,1.0,459.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:25:00+00:00,3,1,22.1,2025-01-01 00:24:01.411000+00:00,0.0,2.0,436.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:30:00+00:00,3,1,22.1,2025-01-01 00:28:59.861000+00:00,0.0,3.0,469.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:35:00+00:00,3,1,22.2,2025-01-01 00:34:06.208000+00:00,0.0,3.0,459.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:40:00+00:00,3,1,22.1,2025-01-01 00:39:24.039000+00:00,0.0,2.0,445.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:45:00+00:00,3,1,22.1,2025-01-01 00:43:59.444000+00:00,0.0,3.0,467.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:50:00+00:00,3,1,22.1,2025-01-01 00:48:59.927000+00:00,0.0,3.0,469.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 00:55:00+00:00,3,1,22.1,2025-01-01 00:53:59.520000+00:00,0.0,2.0,448.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:00:00+00:00,3,2,22.2,2025-01-01 00:59:11.538000+00:00,0.0,1.0,467.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:05:00+00:00,3,2,22.1,2025-01-01 01:04:06.183000+00:00,0.0,3.0,454.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:10:00+00:00,3,2,22.2,2025-01-01 01:09:00.177000+00:00,0.0,3.0,454.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:15:00+00:00,3,2,22.1,2025-01-01 01:13:59.600000+00:00,0.0,3.0,448.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:20:00+00:00,3,2,22.1,2025-01-01 01:19:00.177000+00:00,0.0,3.0,465.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:25:00+00:00,3,2,22.1,2025-01-01 01:24:00.698000+00:00,0.0,3.0,461.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
2025-01-01 01:30:00+00:00,3,2,22.1,2025-01-01 01:28:59.366000+00:00,0.0,3.0,455.0,33.0,"[0, 0]",0,0,0,0,0,0.0,0.0
