family,method,model,n_runs,source_train,target_train,weight_compute,alignment_train,TOTAL
Feature-Based,WDGRL_tsw,RNN,9,0.0,13.639156493444412,3.9054444237586315e-05,0.0,13.63919554788865
Feature-Based,WDGRL_tsw,LSTM,9,0.0,14.68296676999954,4.0720999903795826e-05,0.0,14.683007490999444
Feature-Based,WDGRL_tsw,Transformer,9,0.0,19.756535325333566,3.812666667120842e-05,0.0,19.75657345200024
Feature-Based,WDGRL_tsbw,RNN,9,0.0,13.7474667773329,5.181300002732314e-05,0.0,13.747518590332927
Feature-Based,WDGRL_tsbw,LSTM,9,0.0,14.61801094088878,4.8600889082687594e-05,0.0,14.618059541777862
Feature-Based,WDGRL_tsbw,Transformer,9,0.0,19.73857311966721,5.038566693353156e-05,0.0,19.73862350533414
Feature-Based,WDGRL_none,RNN,9,0.0,13.551571258999806,0.0,0.0,13.551571258999806
Feature-Based,WDGRL_none,LSTM,9,0.0,14.442536346110906,0.0,0.0,14.442536346110906
Feature-Based,WDGRL_none,Transformer,9,0.0,19.640132606444038,0.0,0.0,19.640132606444038
Feature-Based,PRED_tsw,RNN,9,1.435364033888618,3.1950218121110083,0.0004924566670119889,0.0,4.6308783026666385
Feature-Based,PRED_tsw,LSTM,9,1.6653225385554025,3.6632109885556727,0.0005006252223311555,0.0,5.329034152333406
Feature-Based,PRED_tsw,Transformer,9,2.7306317065558687,5.816295333222216,0.0002850964443091444,0.0,8.547212136222393
Feature-Based,PRED_tsbw,RNN,9,1.426522768556121,3.1754093685556453,0.00043706588884454445,0.0,4.6023692030006105
Feature-Based,PRED_tsbw,LSTM,9,1.6657891128888878,3.6615906335553317,0.0004872963331257667,0.0,5.327867042777346
Feature-Based,PRED_tsbw,Transformer,9,2.72121086477758,5.792215843111181,0.00026008422234246665,0.0,8.513686792111104
Feature-Based,PRED_none,RNN,9,1.4178122422223776,2.9417295861108466,0.0,0.0,4.359541828333224
Feature-Based,PRED_none,LSTM,9,1.6729074977778913,3.4481539654445643,0.0,0.0,5.121061463222456
Feature-Based,PRED_none,Transformer,9,2.7326310227777464,5.570001797444598,0.0,0.0,8.302632820222344
Feature-Based,DeepMMD_tsw,RNN,9,0.0,4.291497761555648,4.206711087641047e-05,0.0,4.291539828666525
