Group,Pair,Backbone,Full-FT,Feat-Ext,LA-PreFT TSW,LA-PreFT TSBW,Target-Only
G1,A→B,RNN,-0.02,+0.49,-0.00,+0.08,+0.00
G1,A→B,LSTM,-0.02,+0.74,-0.00,-0.00,+0.00
G1,A→B,Transformer,-0.00,+0.16,-0.02,+0.01,+0.00
G2,C→A,RNN,+0.04,+0.36,+0.03,-0.03,-0.05
G2,C→A,LSTM,+0.01,-0.19,-0.05,+0.01,-0.06
G2,C→A,Transformer,-0.04,-0.08,+0.16,+0.17,-0.08
G3,A→P,RNN,+0.01,-0.10,+0.06,+0.05,+0.04
G3,A→P,LSTM,+0.02,+0.38,+0.06,+0.05,+0.04
G3,A→P,Transformer,+0.03,+0.06,+0.01,+0.03,+0.05
G3,P→A,RNN,-0.01,+0.29,-0.05,-0.10,-0.05
G3,P→A,LSTM,+0.08,+0.43,+0.04,+0.01,-0.06
G3,P→A,Transformer,-0.07,+0.11,+0.00,-0.01,-0.08
G3,B→P,RNN,+0.05,+0.11,+0.04,+0.04,+0.04
G3,B→P,LSTM,+0.06,+0.33,+0.09,+0.04,+0.04
G3,B→P,Transformer,+0.04,+0.09,+0.04,+0.03,+0.05
G3,P→B,RNN,-0.00,+0.40,-0.00,-0.00,+0.00
G3,P→B,LSTM,+0.07,+0.65,+0.01,+0.05,+0.00
G3,P→B,Transformer,+0.10,+0.15,+0.17,+0.16,+0.00
G4,C→P,RNN,+0.07,+0.12,+0.06,+0.09,+0.04
G4,C→P,LSTM,+0.04,+0.18,+0.05,+0.04,+0.04
G4,C→P,Transformer,+0.03,+0.04,+0.04,+0.04,+0.05
G4,P→C,RNN,+0.05,+0.06,+0.12,+0.05,+0.00
G4,P→C,LSTM,+0.18,+0.21,+0.00,+0.07,+0.00
G4,P→C,Transformer,+0.06,+0.25,+0.10,+0.05,+0.00
