Setting,Backbone,Target-Only Baseline,KMM,KMM+TSW,KMM+TSBW,ULSIF,ULSIF+TSW,ULSIF+TSBW,RULSIF,RULSIF+TSW,RULSIF+TSBW,TrAdaBoostR2,IWC,IWC+TSW,IWC+TSBW,Baseline
Room_A → Room_B,RNN,0.21,0.28,0.23,0.33,0.25,0.25,0.25,0.22,0.25,0.25,0.22,0.26,0.28,0.28,0.22
Room_A → Room_B,LSTM,0.24,0.21,0.23,0.24,0.27,0.24,0.27,0.27,0.24,0.28,0.24,0.26,0.26,0.25,0.25
Room_A → Room_B,Transformer,0.19,0.29,0.27,0.20,0.26,0.23,0.23,0.22,0.22,0.26,0.21,0.33,0.21,0.21,0.26
Room_B → Room_C,RNN,0.62,0.70,0.68,0.69,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.69,0.73,0.65,0.73
Room_B → Room_C,LSTM,0.64,0.76,0.65,0.69,0.81,0.81,0.77,0.72,0.72,0.72,0.66,0.71,0.77,0.72,0.67
Room_B → Room_C,Transformer,0.69,0.76,0.81,0.79,0.76,0.76,0.76,0.76,0.76,0.76,0.71,0.71,0.76,0.74,0.62
Room_C → Room_A,RNN,0.46,0.36,0.42,0.38,0.50,0.48,0.41,0.43,0.37,0.40,0.40,0.40,0.36,0.34,0.36
Room_C → Room_A,LSTM,0.34,0.39,0.34,0.39,0.36,0.35,0.33,0.31,0.39,0.36,0.38,0.31,0.30,0.34,0.36
Room_C → Room_A,Transformer,0.28,0.34,0.31,0.27,0.26,0.31,0.42,0.40,0.38,0.40,0.45,0.37,0.27,0.40,0.38
Room_A → Room_P,RNN,0.11,0.09,0.11,0.09,0.10,0.09,0.09,0.09,0.10,0.09,0.14,0.11,0.08,0.09,0.14
Room_A → Room_P,LSTM,0.09,0.13,0.10,0.11,0.09,0.08,0.07,0.08,0.09,0.15,0.12,0.12,0.08,0.08,0.12
Room_A → Room_P,Transformer,0.08,0.08,0.08,0.08,0.09,0.07,0.07,0.07,0.06,0.09,0.10,0.09,0.07,0.06,0.06
Room_B → Room_P,RNN,0.11,0.10,0.11,0.10,0.09,0.09,0.09,0.09,0.10,0.09,0.08,0.08,0.08,0.08,0.08
Room_B → Room_P,LSTM,0.09,0.08,0.09,0.10,0.06,0.09,0.07,0.06,0.08,0.07,0.07,0.07,0.07,0.07,0.08
Room_B → Room_P,Transformer,0.08,0.06,0.07,0.06,0.06,0.08,0.08,0.07,0.07,0.08,0.06,0.06,0.07,0.07,0.06
Room_C → Room_P,RNN,0.11,0.14,0.09,0.10,0.14,0.10,0.13,0.15,0.09,0.10,0.11,0.13,0.09,0.15,0.12
Room_C → Room_P,LSTM,0.09,0.14,0.11,0.12,0.13,0.09,0.10,0.14,0.08,0.10,0.15,0.10,0.08,0.10,0.12
Room_C → Room_P,Transformer,0.08,0.12,0.07,0.09,0.08,0.08,0.07,0.11,0.08,0.10,0.07,0.07,0.08,0.08,0.09
Room_P → Room_A,RNN,0.46,0.41,0.48,0.44,0.44,0.43,0.47,0.46,0.47,0.32,0.43,0.38,0.47,0.48,0.48
Room_P → Room_A,LSTM,0.34,0.49,0.41,0.35,0.42,0.42,0.38,0.37,0.39,0.39,0.44,0.46,0.44,0.45,0.44
Room_P → Room_A,Transformer,0.28,0.52,0.56,0.64,0.39,0.65,0.45,0.36,0.68,0.55,0.48,0.39,0.47,0.42,0.44
Room_P → Room_B,RNN,0.21,0.25,0.21,0.29,0.29,0.24,0.28,0.23,0.24,0.25,0.31,0.23,0.26,0.25,0.26
Room_P → Room_B,LSTM,0.24,0.26,0.26,0.27,0.24,0.27,0.22,0.30,0.26,0.23,0.24,0.23,0.26,0.23,0.23
Room_P → Room_B,Transformer,0.19,0.26,0.22,0.27,0.21,0.17,0.25,0.25,0.23,0.18,0.21,0.21,0.20,0.25,0.25
Room_P → Room_C,RNN,0.62,0.67,0.63,0.64,0.66,0.68,0.67,0.70,0.63,0.67,0.66,0.67,0.62,0.65,0.65
Room_P → Room_C,LSTM,0.64,0.58,0.67,0.69,0.58,0.59,0.64,0.60,0.62,0.59,0.61,0.68,0.60,0.63,0.65
Room_P → Room_C,Transformer,0.69,0.65,0.67,0.71,0.74,0.70,0.70,0.64,0.66,0.65,0.67,0.65,0.70,0.67,0.65
